Voltage,Current
34.94755159,5.19
34.94035983,5.2
34.93314793,5.21
34.92591576,5.22
34.9186632,5.23
34.91139012,5.24
34.9040964,5.25
34.89678191,5.26
34.88944652,5.27
34.88209011,5.28
34.87471255,5.29
34.8673137,5.3
34.85989343,5.31
34.85245162,5.32
34.84498811,5.33
34.83750278,5.34
34.82999549,5.35
34.82246611,5.36
34.81491448,5.37
34.80734047,5.38
34.79974394,5.39
34.79212475,5.4
34.78448274,5.41
34.77681777,5.42
34.76912969,5.43
34.76141835,5.44
34.7536836,5.45
34.74592529,5.46
34.73814327,5.47
34.73033737,5.48
34.72250745,5.49
34.71465333,5.5
34.70677487,5.51
34.69887189,5.52
34.69094425,5.53
34.68299176,5.54
34.67501426,5.55
34.66701159,5.56
34.65898357,5.57
34.65093004,5.58
34.64285081,5.59
34.63474572,5.6
34.62661458,5.61
34.61845721,5.62
34.61027344,5.63
34.60206308,5.64
34.59382595,5.65
34.58556186,5.66
34.57727062,5.67
34.56895204,5.68
34.56060592,5.69
34.55223208,5.7
34.54383031,5.71
34.53540042,5.72
34.5269422,5.73
34.51845545,5.74
34.50993997,5.75
34.50139555,5.76
34.49282197,5.77
34.48421903,5.78
34.47558652,5.79
34.4669242,5.8
34.45823187,5.81
34.4495093,5.82
34.44075626,5.83
34.43197254,5.84
34.4231579,5.85
34.41431211,5.86
34.40543493,5.87
34.39652613,5.88
34.38758547,5.89
34.3786127,5.9
34.36960758,5.91
34.36056986,5.92
34.35149929,5.93
34.34239562,5.94
34.33325858,5.95
34.32408792,5.96
34.31488338,5.97
34.30564468,5.98
34.29637156,5.99
34.28706375,6
34.27772097,6.01
34.26834294,6.02
34.25892938,6.03
34.24948,6.04
34.23999452,6.05
34.23047263,6.06
34.22091405,6.07
34.21131848,6.08
34.2016856,6.09
34.19201511,6.1
34.18230671,6.11
34.17256007,6.12
34.16277487,6.13
34.1529508,6.14
34.14308752,6.15
34.13318471,6.16
34.12324203,6.17
34.11325913,6.18
34.10323568,6.19
34.09317132,6.2
34.0830657,6.21
34.07291847,6.22
34.06272925,6.23
34.05249769,6.24
34.04222341,6.25
34.03190603,6.26
34.02154518,6.27
34.01114046,6.28
34.00069148,6.29
33.99019784,6.3
33.97965914,6.31
33.96907498,6.32
33.95844493,6.33
33.94776858,6.34
33.93704551,6.35
33.92627527,6.36
33.91545743,6.37
33.90459156,6.38
33.89367719,6.39
33.88271387,6.4
33.87170114,6.41
33.86063854,6.42
33.84952557,6.43
33.83836177,6.44
33.82714663,6.45
33.81587968,6.46
33.80456038,6.47
33.79318825,6.48
33.78176275,6.49
33.77028337,6.5
33.75874956,6.51
33.74716078,6.52
33.73551649,6.53
33.72381612,6.54
33.7120591,6.55
33.70024486,6.56
33.68837281,6.57
33.67644237,6.58
33.66445291,6.59
33.65240384,6.6
33.64029453,6.61
33.62812434,6.62
33.61589264,6.63
33.60359877,6.64
33.59124207,6.65
33.57882186,6.66
33.56633746,6.67
33.55378818,6.68
33.5411733,6.69
33.52849211,6.7
33.51574387,6.71
33.50292786,6.72
33.4900433,6.73
33.47708943,6.74
33.46406547,6.75
33.45097063,6.76
33.43780409,6.77
33.42456504,6.78
33.41125264,6.79
33.39786605,6.8
33.38440438,6.81
33.37086677,6.82
33.35725232,6.83
33.34356012,6.84
33.32978923,6.85
33.31593871,6.86
33.30200761,6.87
33.28799493,6.88
33.27389969,6.89
33.25972086,6.9
33.24545742,6.91
33.2311083,6.92
33.21667243,6.93
33.20214873,6.94
33.18753606,6.95
33.1728333,6.96
33.15803929,6.97
33.14315284,6.98
33.12817275,6.99
33.1130978,7
33.09792672,7.01
33.08265825,7.02
33.06729108,7.03
33.05182388,7.04
33.0362553,7.05
33.02058394,7.06
33.00480841,7.07
32.98892725,7.08
32.97293899,7.09
32.95684213,7.1
32.94063514,7.11
32.92431645,7.12
32.90788446,7.13
32.89133752,7.14
32.87467397,7.15
32.8578921,7.16
32.84099017,7.17
32.82396638,7.18
32.80681892,7.19
32.78954591,7.2
32.77214544,7.21
32.75461557,7.22
32.7369543,7.23
32.71915957,7.24
32.7012293,7.25
32.68316134,7.26
32.6649535,7.27
32.64660353,7.28
32.62810912,7.29
32.60946793,7.3
32.59067754,7.31
32.57173546,7.32
32.55263917,7.33
32.53338605,7.34
32.51397343,7.35
32.49439859,7.36
32.47465871,7.37
32.4547509,7.38
32.43467221,7.39
32.4144196,7.4
32.39398996,7.41
32.37338007,7.42
32.35258664,7.43
32.33160629,7.44
32.31043555,7.45
32.28907083,7.46
32.26750847,7.47
32.24574467,7.48
32.22377555,7.49
32.20159709,7.5
32.17920518,7.51
32.15659557,7.52
32.13376387,7.53
32.11070558,7.54
32.08741606,7.55
32.0638905,7.56
32.04012398,7.57
32.01611137,7.58
31.99184743,7.59
31.96732672,7.6
31.94254362,7.61
31.91749234,7.62
31.89216689,7.63
31.86656106,7.64
31.84066844,7.65
31.81448242,7.66
31.78799612,7.67
31.76120243,7.68
31.734094,7.69
31.7066632,7.7
31.6789021,7.71
31.65080251,7.72
31.62235591,7.73
31.59355345,7.74
31.56438596,7.75
31.5348439,7.76
31.50491733,7.77
31.47459593,7.78
31.44386897,7.79
31.41272524,7.8
31.38115311,7.81
31.3491404,7.82
31.31667444,7.83
31.283742,7.84
31.25032925,7.85
31.21642176,7.86
31.1820044,7.87
31.14706137,7.88
31.11157612,7.89
31.07553128,7.9
31.03890867,7.91
31.00168918,7.92
30.96385274,7.93
30.92537826,7.94
30.88624355,7.95
30.84642523,7.96
30.80589868,7.97
30.76463789,7.98
30.72261541,7.99
30.67980223,8
30.63616763,8.01
30.59167909,8.02
30.54630209,8.03
30.5,8.04
30.45273386,8.05
30.40446219,8.06
30.3551408,8.07
30.3047225,8.08
30.25315686,8.09
30.20038986,8.1
30.14636362,8.11
30.09101593,8.12
30.03427987,8.13
29.97608331,8.14
29.91634834,8.15
29.85499066,8.16
29.79191881,8.17
29.72703342,8.18
29.66022619,8.19
29.59137881,8.2
29.52036174,8.21
29.44703265,8.22
29.37123475,8.23
29.29279475,8.24
29.21152043,8.25
29.12719781,8.26
29.03958771,8.27
28.94842166,8.28
28.85339691,8.29
28.75417028,8.3
28.65035071,8.31
28.54148985,8.32
28.42707032,8.33
28.30649078,8.34
28.17904666,8.35
28.0439052,8.36
27.9000722,8.37
27.74634749,8.38
27.58126378,8.39
27.40300091,8.4
27.20926285,8.41
26.99709583,8.42
26.76261025,8.43
26.5005383,8.44
26.20349442,8.45
26.14424693,8.45184
26.14424693,8.45184
25.83125242,8.46
25.44768073,8.47
25.06410903,8.48
24.68053733,8.49
24.29696563,8.5
23.91339393,8.51
23.52982224,8.52
23.52982224,8.52
23.52982224,8.52
23.14625054,8.53
22.76267884,8.54
22.37910714,8.55
21.99553545,8.56
21.61196375,8.57
21.22839205,8.58
20.84482035,8.59
20.46124865,8.6
20.07767696,8.61
19.69410526,8.62
19.31053356,8.63
18.92696186,8.64
18.54339016,8.65
18.15981847,8.66
17.77624677,8.67
17.39267507,8.68
17.00910337,8.69
16.62553167,8.7
16.24195998,8.71
15.85838828,8.72
15.47481658,8.73
15.09124488,8.74
14.70767318,8.75
14.32410149,8.76
13.94052979,8.77
13.55695809,8.78
13.17338639,8.79
12.7898147,8.8
12.406243,8.81
12.0226713,8.82
11.6390996,8.83
11.2555279,8.84
10.87195621,8.85
10.48838451,8.86
10.10481281,8.87
9.721241112,8.88
9.337669414,8.89
8.954097716,8.9
8.570526018,8.91
8.18695432,8.92
7.803382622,8.93
7.419810924,8.94
7.036239226,8.95
6.652667529,8.96
6.269095831,8.97
5.885524133,8.98
5.501952435,8.99
5.118380737,9
5.118380737,9
5.118380737,9
4.734809039,9.01
4.351237341,9.02
3.967665643,9.03
3.584093945,9.04
3.200522247,9.05
2.816950549,9.06
2.433378852,9.07
2.049807154,9.08
1.666235456,9.09
1.282663758,9.1
0.89909206,9.11
0.515520362,9.12
0.131948664,9.13
2.68E-12,9.13344
0,9.13344
0,9.14
0,9.15
0,9.16
0,9.17
0,9.18
0,9.19
0,9.2
0,9.2016
0,9.2016
0,9.2016
0,9.21
0,9.22
0,9.23
0,9.24
0,9.25
0,9.26
0,9.27
0,9.28
0,9.29
0,9.3
0,9.31
0,9.32
0,9.33
0,9.34
0,9.35
0,9.36
0,9.37
0,9.38
0,9.39
0,9.4
0,9.41
0,9.42
0,9.43
0,9.44
0,9.45
0,9.46
0,9.47
0,9.48
0,9.49
0,9.5
0,9.51
0,9.52
0,9.53
0,9.54
0,9.55
0,9.56
0,9.57
0,9.58
0,9.59
0,9.6
0,9.61
0,9.62
0,9.63
0,9.64
0,9.65
0,9.66
0,9.67
0,9.68
0,9.69
0,9.7
0,9.71
0,9.72
0,9.73
0,9.74
0,9.75
0,9.76
0,9.77
0,9.78
0,9.79
0,9.8
0,9.81
0,9.82
0,9.83
0,9.84
0,9.85
0,9.86
0,9.87
0,9.88
0,9.89
0,9.9
0,9.91
0,9.92
0,9.93
0,9.94
0,9.95
0,9.96
0,9.97
0,9.98
0,9.99
0,10
0,10
